15,177,0,2,10,2,1,0,F S,464
14,323,0,0,5,8,0,0,M S,465
1,30,0,0,0,1,1,0,S,466
1,74,0,0,0,0,0,0,D,467
2,19,0,0,0,0,0,0,S,468
16,408,0,1,10,6,0,0,M S,469
1,1,0,0,0,0,0,0,S,470
38,3420,0,0,1,2,1,0,GK,471
9,781,0,0,1,1,0,0,D,472
37,3260,0,2,22,23,4,0,D,473
21,823,0,2,9,7,0,0,M S,474
4,13,0,0,0,0,0,0,S,475
20,1089,0,0,3,8,0,0,D S,476
1,5,0,0,2,0,0,0,S,477
15,732,0,0,2,2,2,0,M S,478
24,1890,0,2,14,6,4,0,D,479
26,1788,0,0,3,2,2,1,D S,480
6,205,0,1,2,3,0,0,F M S,481
36,3240,0,0,0,0,2,0,GK,482
5,55,0,0,2,0,0,0,S,483
6,31,0,0,0,0,0,0,S,484
23,568,0,1,4,10,1,1,M S,485
9,156,0,1,5,2,1,0,M S,486
17,540,0,0,8,8,0,0,F M S,487
21,1320,0,1,4,15,1,0,D S,488
1,21,0,0,0,0,0,0,S,489
9,669,0,0,11,15,1,0,D M S,490
34,2651,0,0,10,18,4,0,D S,491
19,1272,0,0,8,6,3,0,D S,492
1,20,0,0,0,0,0,0,S,493
2,17,0,0,0,0,0,0,S,494
1,11,0,0,0,0,0,0,S,495
3,26,0,0,0,0,0,0,S,496
3,85,0,0,2,1,0,0,M S,497
3,6,0,0,0,0,0,0,S,498
19,1465,0,1,4,18,1,0,D M S,499
7,285,0,0,2,0,1,0,M S,500
1,6,0,0,0,0,0,0,S,501
6,93,0,0,2,4,0,0,S,502
1,5,0,0,1,0,0,0,S,503
1,1,0,0,0,0,0,0,S,504
6,162,0,0,2,1,1,0,M S,505
20,1568,0,0,2,8,4,0,D S,506
19,922,0,0,6,5,2,0,D M S,507
1,5,0,0,0,0,0,0,S,508
4,4,0,0,1,0,0,0,S,509
32,2880,0,0,0,1,0,0,GK,510
22,1376,0,0,5,9,6,0,D S,511
17,1213,0,2,8,7,1,0,D S,512
8,288,0,0,2,0,2,0,D S,513
12,1080,0,0,0,0,0,0,GK,514
10,307,0,1,7,5,0,0,F S,515
